IssueID,RelatedPrID,IssueCategory,Participants,IsMPLF,SentimentScore
1123,[29807],Build bug,4,0,-0.25
1234,[1580],Documentation bug,4,0,-0.6
1793,[8930],Algorithm design bug,7,0,0.6363636363636364
3815,[3858],Build bug,2,0,1.75
4358,[4421],Documentation bug,3,0,0.8333333333333334
6749,[11153],Version compatibility bug,8,0,0.0
6766,[16051],Memory bug,13,1,0.1875
7404,[18052],Documentation bug,11,0,-0.1111111111111111
8401,[8420],Visualization bug,2,0,2.3333333333333335
8718,[10658],Documentation bug,2,0,0.0
9313,[10423],Documentation bug,3,0,0.25
9827,[15394],Documentation bug,3,0,1.2
10622,[18223],Documentation bug,9,0,0.0
10729,[11925],Documentation bug,5,0,1.3333333333333333
11651,[29815],Algorithm design bug,10,0,0.0
12018,[13145],Build bug,5,0,0.125
12113,[12129],Data bug,2,1,3.0
12156,[15607],Documentation bug,5,1,0.5
12205,12206,Code bug,2,0,0.4
12249,[12276],Version compatibility bug,3,0,0.25
12436,[12459],Algorithm design bug,2,0,1.5
12525,[12562],Data bug,2,0,1.5
12583,[12584],Data bug,2,0,1.0
12641,[12658],Memory bug,5,0,0.5897435897435898
12821,[12839],Code bug,4,0,0.8571428571428571
12902,[13212],Documentation bug,2,0,1.0
13288,[17863],Documentation bug,4,0,1.2
13293,[13301],Processor bug,1,1,0.0
13506,[13517],Data bug,4,1,1.0
13764,[14082],Test bug,2,0,1.0
14542,[14553],Deployment bug,1,0,0.0
14800,[14816],Memory bug,3,0,2.0
14819,[14831],Algorithm design bug,3,0,0.625
14871,[14872],Processor bug,2,1,1.6666666666666667
14932,[14939],Data bug,2,1,1.5
14951,[14984],Documentation bug,3,0,1.25
14959,[14967],Code bug,3,1,2.0
15034,[16075],Algorithm design bug,3,0,-1.2
15477,[15479],Build bug,1,0,1.0
15529,[15531],Data bug,3,0,0.25
16152,[19199],Code bug,17,0,0.5217391304347826
16263,[17443],Documentation bug,3,0,-1.3333333333333333
17614,[17617],Documentation bug,3,0,0.75
17663,[18022],Documentation bug,3,0,0.6666666666666666
17698,[20558],Memory bug,6,0,0.8571428571428571
18598,[18601],Version compatibility bug,3,0,0.8333333333333334
19274,[19307],Code bug,3,1,0.7142857142857143
20751,[20768],Data bug,2,0,-1.0
20776,[20807],Version compatibility bug,2,0,0.0
21434,[21443],Visualization bug,1,0,3.0
21525,[21533],Documentation bug,1,0,0.0
21549,[26522],Version compatibility bug,2,0,0.6666666666666666
21676,[21677],Test bug,3,0,1.8888888888888888
21964,[24018],Data bug,5,0,1.0
22012,[22296],Build bug,4,0,2.4
22071,[31993],Data bug,4,0,0.25
22110,[22139],Algorithm design bug,3,0,0.0
22217,[23811],Code bug,4,1,0.6666666666666666
22793,[22849],Algorithm design bug,3,0,0.0
23654,[23658],Version compatibility bug,2,0,-1.5
24457,[24647],Build bug,4,0,0.25
24566,[24791],Algorithm design bug,2,1,0.0
24567,[24569],Build bug,1,0,0.0
24578,[24583],Code bug,1,0,0.0
24601,[24613],Test bug,3,0,3.0
24627,[24629],Version compatibility bug,2,0,2.0
24679,[24723],Data bug,3,0,0.0
24756,[24786],Documentation bug,3,0,1.0
24818,[25941],Documentation bug,1,0,2.0
25043,[25048],Code bug,2,0,2.5
25086,[47011],Algorithm design bug,3,0,-0.3333333333333333
25247,[25255],Build bug,2,0,1.5
25674,[25726],Code bug,2,0,1.25
25701,[25702],Data bug,1,0,0.0
25828,[32668],Documentation bug,6,0,1.5
25835,[25851],Deployment bug,1,0,0.0
25988,[36951],Documentation bug,3,0,2.375
26270,[49488],Documentation bug,23,0,0.7547169811320755
26735,[26770],Code bug,1,0,0.0
26800,[27072],Deployment bug,4,0,1.8
27276,[28006],Version compatibility bug,2,0,0.0
